广东电信-组播1,#genre#
湖南卫视,http://183.236.43.98:4111/udp/239.77.0.88:5146
湖南卫视,http://183.236.43.98:4111/udp/239.77.1.5:5146
湖南卫视,http://183.236.43.98:4111/udp/239.77.1.29:5146
湖南卫视,http://183.236.43.98:4111/udp/239.77.1.129:5146
湖南卫视,http://183.236.43.98:4111/udp/239.77.0.127:5146
浙江卫视,http://183.236.43.98:4111/udp/239.77.0.89:5146
浙江卫视,http://183.236.43.98:4111/udp/239.77.1.33:5146
浙江卫视,http://183.236.43.98:4111/udp/239.77.1.150:5146
浙江卫视,http://183.236.43.98:4111/udp/239.77.1.32:5146
浙江卫视,http://183.236.43.98:4111/udp/239.77.0.125:5146
江苏卫视,http://183.236.43.98:4111/udp/239.77.0.90:5146
江苏卫视,http://183.236.43.98:4111/udp/239.77.1.18:5146
江苏卫视,http://183.236.43.98:4111/udp/239.77.1.149:5146
江苏卫视,http://183.236.43.98:4111/udp/239.77.0.126:5146
北京卫视,http://183.236.43.98:4111/udp/239.77.1.4:5146
北京卫视,http://183.236.43.98:4111/udp/239.77.0.91:5146
北京卫视,http://183.236.43.98:4111/udp/239.77.0.153:5146
北京卫视,http://183.236.43.98:4111/udp/239.77.0.233:5146
北京卫视,http://183.236.43.98:4111/udp/239.77.1.151:5146
东方卫视,http://183.236.43.98:4111/udp/239.77.0.5:5146
东方卫视,http://183.236.43.98:4111/udp/239.77.1.218:5146
东方卫视,http://183.236.43.98:4111/udp/239.77.1.156:5146
安徽卫视,http://183.236.43.98:4111/udp/239.77.0.183:5146
安徽卫视,http://183.236.43.98:4111/udp/239.77.1.92:5146
安徽卫视,http://183.236.43.98:4111/udp/239.77.1.157:5146
深圳卫视,http://183.236.43.98:4111/udp/239.77.0.92:5146
深圳卫视,http://183.236.43.98:4111/udp/239.77.0.130:5146
深圳卫视,http://183.236.43.98:4111/udp/239.77.1.3:5146
深圳卫视,http://183.236.43.98:4111/udp/239.77.1.148:5146
辽宁卫视,http://183.236.43.98:4111/udp/239.77.0.123:5146
辽宁卫视,http://183.236.43.98:4111/udp/239.77.1.103:5146
辽宁卫视,http://183.236.43.98:4111/udp/239.77.0.161:5146
山东卫视,http://183.236.43.98:4111/udp/239.77.0.94:5146
山东卫视,http://183.236.43.98:4111/udp/239.77.1.142:5146
山东卫视,http://183.236.43.98:4111/udp/239.77.0.132:5146
山东卫视,http://183.236.43.98:4111/udp/239.77.1.153:5146
山东教育卫视,http://183.236.43.98:4111/udp/239.77.1.35:5146
天津卫视,http://183.236.43.98:4111/udp/239.77.0.97:5146
天津卫视,http://183.236.43.98:4111/udp/239.77.0.131:5146
天津卫视,http://183.236.43.98:4111/udp/239.77.1.141:5146
天津卫视,http://183.236.43.98:4111/udp/239.77.1.182:5146
