浙江联通-组播1,#genre#
上海动漫秀场,http://z2m.eversouthhangzhou.com.cn:8188/rtp/233.50.201.184:5140
上海游戏风云,http://z2m.eversouthhangzhou.com.cn:8188/rtp/233.50.201.183:5140
上海乐游,http://z2m.eversouthhangzhou.com.cn:8188/rtp/233.50.201.185:5140
上海都市剧场,http://z2m.eversouthhangzhou.com.cn:8188/rtp/233.50.201.190:5140
上海多彩文体4K,http://z2m.eversouthhangzhou.com.cn:8188/rtp/233.50.201.189:5140
上海金色学堂,http://z2m.eversouthhangzhou.com.cn:8188/rtp/233.50.201.186:5140
上海生活时尚,http://z2m.eversouthhangzhou.com.cn:8188/rtp/233.50.201.187:5140
上海新视觉,http://z2m.eversouthhangzhou.com.cn:8188/rtp/233.50.201.244:5140
上海哈哈炫动,http://z2m.eversouthhangzhou.com.cn:8188/rtp/233.50.201.74:5140
湖北快乐垂钓,http://z2m.eversouthhangzhou.com.cn:8188/rtp/233.50.201.109:5140
湖南茶频道,http://z2m.eversouthhangzhou.com.cn:8188/rtp/233.50.201.188:5140
湖南金鹰卡通,http://z2m.eversouthhangzhou.com.cn:8188/rtp/233.50.201.73:5140
极速汽车,http://z2m.eversouthhangzhou.com.cn:8188/rtp/233.50.201.208:5140
家有购物,http://z2m.eversouthhangzhou.com.cn:8188/rtp/233.50.201.90:5140
交通之声广播,http://z2m.eversouthhangzhou.com.cn:8188/rtp/233.50.201.83:5140
城市之声广播,http://z2m.eversouthhangzhou.com.cn:8188/rtp/233.50.201.85:5140
旅游之声广播,http://z2m.eversouthhangzhou.com.cn:8188/rtp/233.50.201.84:5140
民生资讯广播,http://z2m.eversouthhangzhou.com.cn:8188/rtp/233.50.201.86:5140
经济频道广播,http://z2m.eversouthhangzhou.com.cn:8188/rtp/233.50.201.81:5140
音乐调频广播,http://z2m.eversouthhangzhou.com.cn:8188/rtp/233.50.201.82:5140

杭州1综合,http://z2m.eversouthhangzhou.com.cn:8188/rtp/233.50.201.173:5140
杭州2明珠,http://z2m.eversouthhangzhou.com.cn:8188/rtp/233.50.201.174:5140
杭州3生活,http://z2m.eversouthhangzhou.com.cn:8188/rtp/233.50.201.175:5140
杭州4影视,http://z2m.eversouthhangzhou.com.cn:8188/rtp/233.50.201.176:5140
杭州5青少,http://z2m.eversouthhangzhou.com.cn:8188/rtp/233.50.201.177:5140
杭州导视,http://z2m.eversouthhangzhou.com.cn:8188/rtp/233.50.201.182:5140
宁波TV1,http://z2m.eversouthhangzhou.com.cn:8188/rtp/233.50.201.168:5140
宁波TV2,http://z2m.eversouthhangzhou.com.cn:8188/rtp/233.50.201.178:5140
宁波TV3,http://z2m.eversouthhangzhou.com.cn:8188/rtp/233.50.201.179:5140
宁波TV4,http://z2m.eversouthhangzhou.com.cn:8188/rtp/233.50.201.180:5140
宁波TV5,http://z2m.eversouthhangzhou.com.cn:8188/rtp/233.50.201.181:5140
温州新闻,http://z2m.eversouthhangzhou.com.cn:8188/rtp/233.50.201.87:5140
嘉兴新闻,http://z2m.eversouthhangzhou.com.cn:8188/rtp/233.50.201.163:5140
湖州公共,http://z2m.eversouthhangzhou.com.cn:8188/rtp/233.50.201.158:5140
绍兴新闻,http://z2m.eversouthhangzhou.com.cn:8188/rtp/233.50.201.156:5140
金华新闻,http://z2m.eversouthhangzhou.com.cn:8188/rtp/233.50.201.161:5140
衢州新闻,http://z2m.eversouthhangzhou.com.cn:8188/rtp/233.50.201.155:5140
台州-1,http://z2m.eversouthhangzhou.com.cn:8188/rtp/233.50.201.157:5140
丽水新闻,http://z2m.eversouthhangzhou.com.cn:8188/rtp/233.50.201.162:5140

CGTN-西班牙语,http://z2m.eversouthhangzhou.com.cn:8188/rtp/233.50.201.36:5140
CGTN-阿拉伯语,http://z2m.eversouthhangzhou.com.cn:8188/rtp/233.50.201.38:5140
YMG新闻,rtp//233.50.201.159:5140
中国蓝直播,http://z2m.eversouthhangzhou.com.cn:8188/rtp/233.50.201.108:5140
之江记录,http://z2m.eversouthhangzhou.com.cn:8188/rtp/233.50.202.25:5140
未知频道,http://z2m.eversouthhangzhou.com.cn:8188/rtp/233.50.201.224:5140
