浙江联通-组播1,#genre#
绍兴新闻,http://bgs.cchui.fun:7912/rtp/233.50.201.156:5140
金华新闻,http://bgs.cchui.fun:7912/rtp/233.50.201.161:5140
衢州新闻,http://bgs.cchui.fun:7912/rtp/233.50.201.155:5140
台州-1,http://bgs.cchui.fun:7912/rtp/233.50.201.157:5140
丽水新闻,http://bgs.cchui.fun:7912/rtp/233.50.201.162:5140

CGTN-西班牙语,http://bgs.cchui.fun:7912/rtp/233.50.201.36:5140
CGTN-阿拉伯语,http://bgs.cchui.fun:7912/rtp/233.50.201.38:5140
YMG新闻,rtp//233.50.201.159:5140
中国蓝直播,http://bgs.cchui.fun:7912/rtp/233.50.201.108:5140
之江记录,http://bgs.cchui.fun:7912/rtp/233.50.202.25:5140
未知频道,http://bgs.cchui.fun:7912/rtp/233.50.201.224:5140
桐乡新闻,http://bgs.cchui.fun:7912/rtp/233.50.201.169:5140
法制天地,http://bgs.cchui.fun:7912/rtp/233.50.201.191:5140
游戏频道,http://bgs.cchui.fun:7912/rtp/233.50.201.215:5140
电视购物,http://bgs.cchui.fun:7912/rtp/233.50.201.248:5140
钱江频道,http://bgs.cchui.fun:7912/rtp/233.50.201.132:5140
