湖南电信-组播1,#genre#
CCTV-9纪录,http://0000505.xyz:8888/udp/239.76.253.159:9000
CCTV-9纪录,http://0000505.xyz:8888/udp/239.76.246.159:1234
CCTV-9纪录,http://0000505.xyz:8888/rtp/239.69.1.104:10262
CCTV-10科教,http://0000505.xyz:8888/udp/239.76.253.160:9000
CCTV-10科教,http://0000505.xyz:8888/udp/239.76.246.160:1234
CCTV-10科教,http://0000505.xyz:8888/rtp/239.69.1.105:10268
CCTV-11戏曲,http://0000505.xyz:8888/udp/239.76.252.251:9000
CCTV-11戏曲,http://0000505.xyz:8888/udp/239.76.245.251:1234
CCTV-11戏曲,http://0000505.xyz:8888/rtp/239.69.1.154:10560
CCTV-12社会与法,http://0000505.xyz:8888/udp/239.76.253.162:9000
CCTV-12社会与法,http://0000505.xyz:8888/udp/239.76.246.162:1234
CCTV-12社会与法,http://0000505.xyz:8888/rtp/239.69.1.106:10274
CCTV-13新闻,http://0000505.xyz:8888/udp/239.76.253.93:9000
CCTV-13新闻,http://0000505.xyz:8888/udp/239.76.251.84:9000
CCTV-13新闻,http://0000505.xyz:8888/udp/239.76.246.93:1234
CCTV-13新闻,http://0000505.xyz:8888/rtp/239.254.96.161:9040
CCTV-14少儿,http://0000505.xyz:8888/udp/239.76.253.164:9000
CCTV-14少儿,http://0000505.xyz:8888/udp/239.76.246.164:1234
CCTV-14少儿,http://0000505.xyz:8888/rtp/239.69.1.107:10280
CCTV-15音乐,http://0000505.xyz:8888/udp/239.76.252.252:9000
CCTV-15音乐,http://0000505.xyz:8888/udp/239.76.245.252:1234
CCTV-15音乐,http://0000505.xyz:8888/rtp/239.69.1.155:10566
CCTV-16奥林匹克,http://0000505.xyz:8888/udp/239.76.253.98:9000
CCTV-16奥林匹克,http://0000505.xyz:8888/udp/239.76.246.98:1234
CCTV-16奥林匹克,http://0000505.xyz:8888/rtp/239.69.1.247:11124
CCTV-17农业农村,http://0000505.xyz:8888/udp/239.76.252.238:9000
CCTV-17农业农村,http://0000505.xyz:8888/udp/239.76.245.238:1234
CCTV-17农业农村,http://0000505.xyz:8888/rtp/239.69.1.152:10548
CCTV-1综合SD,http://0000505.xyz:8888/rtp/239.254.96.3:7992
CCTV-2财经SD,http://0000505.xyz:8888/rtp/239.254.96.154:8998
CCTV-4中文国际SD,http://0000505.xyz:8888/rtp/239.254.96.155:9004
CCTV-5+体育赛事SD,http://0000505.xyz:8888/rtp/239.254.96.99:8568
CCTV-7国防军事SD,http://0000505.xyz:8888/rtp/239.254.96.156:9130
CCTV-9纪录SD,http://0000505.xyz:8888/rtp/239.254.96.157:9016
CCTV-10科教SD,http://0000505.xyz:8888/rtp/239.254.96.158:9022
CCTV-11戏曲SD,http://0000505.xyz:8888/rtp/239.254.96.159:9028
CCTV-11戏曲SD,http://0000505.xyz:8888/rtp/239.254.96.9:8028
