北京联通-组播1,#genre#
CCTV-15音乐,http://nas.alber2025.top:8188/rtp/239.3.1.153:8136
CCTV-16奥林匹克,http://nas.alber2025.top:8188/rtp/239.3.1.184:8001
CCTV-17农业农村,http://nas.alber2025.top:8188/rtp/239.3.1.151:8144
CCTV4K(SDR),http://nas.alber2025.top:8188/rtp/239.3.1.244:2000
CCTV4K(SDR),http://nas.alber2025.top:8188/rtp/239.3.1.245:2000
湖南卫视,http://nas.alber2025.top:8188/rtp/239.3.1.132:8012
浙江卫视,http://nas.alber2025.top:8188/rtp/239.3.1.137:8036
江苏卫视,http://nas.alber2025.top:8188/rtp/239.3.1.135:8028
东方卫视,http://nas.alber2025.top:8188/rtp/239.3.1.136:8032
安徽卫视,http://nas.alber2025.top:8188/rtp/239.3.1.211:8064
广东卫视,http://nas.alber2025.top:8188/rtp/239.3.1.142:8048
深圳卫视,http://nas.alber2025.top:8188/rtp/239.3.1.134:8020
辽宁卫视,http://nas.alber2025.top:8188/rtp/239.3.1.210:8056
山东卫视,http://nas.alber2025.top:8188/rtp/239.3.1.209:8052
山东教育卫视,http://nas.alber2025.top:8188/rtp/239.3.1.52:4120
天津卫视,http://nas.alber2025.top:8188/rtp/239.3.1.141:1234
重庆卫视,http://nas.alber2025.top:8188/rtp/239.3.1.122:8160
东南卫视,http://nas.alber2025.top:8188/rtp/239.3.1.156:8148
河北卫视,http://nas.alber2025.top:8188/rtp/239.3.1.148:8072
河南卫视,http://nas.alber2025.top:8188/rtp/239.3.1.27:8128
河南卫视,http://nas.alber2025.top:8188/rtp/239.3.1.50:8184
湖北卫视,http://nas.alber2025.top:8188/rtp/239.3.1.138:8044
陕西卫视,http://nas.alber2025.top:8188/rtp/239.3.1.41:8140
四川卫视,http://nas.alber2025.top:8188/rtp/239.3.1.29:8288
海南卫视,http://nas.alber2025.top:8188/rtp/239.3.1.45:8304
甘肃卫视,http://nas.alber2025.top:8188/rtp/239.3.1.201:8180
甘肃卫视,http://nas.alber2025.top:8188/rtp/239.3.1.49:8188
广西卫视,http://nas.alber2025.top:8188/rtp/239.3.1.39:8300
贵州卫视,http://nas.alber2025.top:8188/rtp/239.3.1.149:8076
黑龙江卫视,http://nas.alber2025.top:8188/rtp/239.3.1.133:8016
江西卫视,http://nas.alber2025.top:8188/rtp/239.3.1.123:8164
吉林卫视,http://nas.alber2025.top:8188/rtp/239.3.1.240:8172
内蒙古卫视,http://nas.alber2025.top:8188/rtp/239.3.1.43:8176
宁夏卫视,http://nas.alber2025.top:8188/rtp/239.3.1.169:8212
宁夏卫视,http://nas.alber2025.top:8188/rtp/239.3.1.46:8124
山西卫视,http://nas.alber2025.top:8188/rtp/239.3.1.42:8172
新疆卫视,http://nas.alber2025.top:8188/rtp/239.3.1.167:8192
新疆卫视,http://nas.alber2025.top:8188/rtp/239.3.1.48:8160
云南卫视,http://nas.alber2025.top:8188/rtp/239.3.1.26:8108
青海卫视,http://nas.alber2025.top:8188/rtp/239.3.1.44:8184
西藏卫视,http://nas.alber2025.top:8188/rtp/239.3.1.166:8188
西藏卫视,http://nas.alber2025.top:8188/rtp/239.3.1.47:8164
兵团卫视,http://nas.alber2025.top:8188/rtp/239.3.1.144:4120
兵团卫视,http://nas.alber2025.top:8188/rtp/239.3.1.168:8196
三沙卫视,http://nas.alber2025.top:8188/rtp/239.3.1.155:4120
厦门卫视,http://nas.alber2025.top:8188/rtp/239.3.1.143:4120
湖南卫视4K,http://nas.alber2025.top:8188/rtp/239.3.1.112:3002
浙江卫视4K,http://nas.alber2025.top:8188/rtp/239.3.1.114:3004
江苏卫视4K,http://nas.alber2025.top:8188/rtp/239.3.1.113:3003
东方卫视4K,http://nas.alber2025.top:8188/rtp/239.3.1.119:3006
广东卫视4K,http://nas.alber2025.top:8188/rtp/239.3.1.203:2000
深圳卫视4K,http://nas.alber2025.top:8188/rtp/239.3.1.202:2000
山东卫视4K,http://nas.alber2025.top:8188/rtp/239.3.1.144:3005
四川卫视4K,http://nas.alber2025.top:8188/rtp/239.3.1.131:3001
CGTN英语,http://nas.alber2025.top:8188/rtp/239.3.1.215:4220
CGTN西班牙语,http://nas.alber2025.top:8188/rtp/239.3.1.217:4220
CGTN法语,http://nas.alber2025.top:8188/rtp/239.3.1.218:4220
CGTN阿拉伯语,http://nas.alber2025.top:8188/rtp/239.3.1.219:4220
CGTN俄语,http://nas.alber2025.top:8188/rtp/239.3.1.220:4220
CGTN纪录,http://nas.alber2025.top:8188/rtp/239.3.1.216:4220
CETV-1综合教育,http://nas.alber2025.top:8188/rtp/239.3.1.57:8152
CETV-2空中课堂,http://nas.alber2025.top:8188/rtp/239.3.1.54:4120
CETV-3北京科教,http://nas.alber2025.top:8188/rtp/239.3.1.55:4120
CETV-4职业教育,http://nas.alber2025.top:8188/rtp/239.3.1.56:4120
中国交通,http://nas.alber2025.top:8188/rtp/239.3.1.188:8001
体育赛事,http://nas.alber2025.top:8188/rtp/239.3.1.157:8176
睛彩竞技,http://nas.alber2025.top:8188/rtp/239.3.1.125:8001
睛彩广场舞,http://nas.alber2025.top:8188/rtp/239.3.1.128:8001
睛彩篮球,http://nas.alber2025.top:8188/rtp/239.3.1.126:8001
华数爱上4K电影,http://nas.alber2025.top:8188/rtp/239.3.1.236:2000
华数经典电影,http://nas.alber2025.top:8188/rtp/239.3.1.195:9024
华数动作影院,http://nas.alber2025.top:8188/rtp/239.3.1.92:4120
华数喜剧影院,http://nas.alber2025.top:8188/rtp/239.3.1.91:4120
华数家庭影院,http://nas.alber2025.top:8188/rtp/239.3.1.93:4120
华数星影,http://nas.alber2025.top:8188/rtp/239.3.1.94:4120
华数热播剧场,http://nas.alber2025.top:8188/rtp/239.3.1.194:9020
华数古装剧场,http://nas.alber2025.top:8188/rtp/239.3.1.69:4120
华数城市剧场,http://nas.alber2025.top:8188/rtp/239.3.1.67:4120
华数军旅剧场,http://nas.alber2025.top:8188/rtp/239.3.1.68:4120
华数魅力时尚,http://nas.alber2025.top:8188/rtp/239.3.1.196:9012
华数少儿动画,http://nas.alber2025.top:8188/rtp/239.3.1.199:9000
华数动画,http://nas.alber2025.top:8188/rtp/239.3.1.80:4120
华数精选,http://nas.alber2025.top:8188/rtp/239.3.1.74:4120
华数武侠剧场,http://nas.alber2025.top:8188/rtp/239.3.1.90:4120
IPTV10解密,http://nas.alber2025.top:8188/rtp/239.3.1.75:4120
IPTV11戏曲,http://nas.alber2025.top:8188/rtp/239.3.1.78:4120
IPTV14早教,http://nas.alber2025.top:8188/rtp/239.3.1.79:4120
IPTV15音乐现场,http://nas.alber2025.top:8188/rtp/239.3.1.70:4120
IPTV3＋,http://nas.alber2025.top:8188/rtp/239.3.1.198:9004
IPTV5＋,http://nas.alber2025.top:8188/rtp/239.3.1.200:9008
IPTV5＋,http://nas.alber2025.top:8188/rtp/239.3.1.237:4120
IPTV6＋,http://nas.alber2025.top:8188/rtp/239.3.1.197:9016
IPTV7军事,http://nas.alber2025.top:8188/rtp/239.3.1.76:4120
IPTV8＋,http://nas.alber2025.top:8188/rtp/239.3.1.201:8072
IPTV台球,http://nas.alber2025.top:8188/rtp/239.3.1.85:4120
IPTV国学,http://nas.alber2025.top:8188/rtp/239.3.1.77:4120
IPTV地理,http://nas.alber2025.top:8188/rtp/239.3.1.71:4120
IPTV墨宝,http://nas.alber2025.top:8188/rtp/239.3.1.83:4120
IPTV好学生,http://nas.alber2025.top:8188/rtp/239.3.1.81:4120
IPTV收视指南,http://nas.alber2025.top:8188/rtp/239.3.1.193:8012
IPTV武术,http://nas.alber2025.top:8188/rtp/239.3.1.87:4120
IPTV爱生活,http://nas.alber2025.top:8188/rtp/239.3.1.86:4120
IPTV美人,http://nas.alber2025.top:8188/rtp/239.3.1.73:4120
IPTV美妆,http://nas.alber2025.top:8188/rtp/239.3.1.72:4120
IPTV足球,http://nas.alber2025.top:8188/rtp/239.3.1.89:4120
