福建联通-组播1,#genre#
IPTV3+,http://112.109.206.18:9999/rtp/239.255.40.62:8208
IPTV3综艺,http://112.109.206.18:9999/rtp/239.255.40.68:8208
IPTV体育,http://112.109.206.18:9999/rtp/239.255.40.71:8208
IPTV法治,http://112.109.206.18:9999/rtp/239.255.40.61:8208
IPTV相声小品,http://112.109.206.18:9999/rtp/239.255.40.59:8208
IPTV野外,http://112.109.206.18:9999/rtp/239.255.40.60:8208
IPTV魅力时尚,http://112.109.206.18:9999/rtp/239.255.40.67:8208
北京纪实科教,http://112.109.206.18:9999/rtp/239.255.40.205:8208
北京卡酷少儿,http://112.109.206.18:9999/rtp/239.255.40.24:8208
湖南金鹰纪实,http://112.109.206.18:9999/rtp/239.255.40.57:8208
湖南金鹰卡通,http://112.109.206.18:9999/rtp/239.255.40.25:8208
广东嘉佳卡通,http://112.109.206.18:9999/rtp/239.255.40.26:8208

福州新闻,http://112.109.206.18:9999/rtp/239.255.40.170:8208
厦门一套,http://112.109.206.18:9999/rtp/239.255.40.171:8208
莆田新闻,http://112.109.206.18:9999/rtp/239.255.40.140:8208
三明新闻,http://112.109.206.18:9999/rtp/239.255.40.167:8208
泉州一套,http://112.109.206.18:9999/rtp/239.255.40.172:8208
漳州新闻,http://112.109.206.18:9999/rtp/239.255.40.173:8208
南平新闻,http://112.109.206.18:9999/rtp/239.255.40.166:8208
龙岩综合频道,http://112.109.206.18:9999/rtp/239.255.40.160:8208
宁德新闻,http://112.109.206.18:9999/rtp/239.255.40.174:8208
山东教育,http://112.109.206.18:9999/rtp/239.255.40.32:8208

华数影视,http://112.109.206.18:9999/rtp/239.255.40.159:8208
华数电影,http://112.109.206.18:9999/rtp/239.255.40.64:8208
华数电视剧,http://112.109.206.18:9999/rtp/239.255.40.65:8208
平潭卫视,http://112.109.206.18:9999/rtp/239.255.40.191:8208
海峡卫视,http://112.109.206.18:9999/rtp/239.255.40.157:8208
