四川电信-组播1,#genre#
四川卫视,http://www.zhms.tk:5050/udp/239.94.0.60:5140

四川乡村,http://www.zhms.tk:5050/udp/239.94.0.77:5140
四川妇儿,http://www.zhms.tk:5050/udp/239.94.0.75:5140
四川影视文艺,http://www.zhms.tk:5050/udp/239.94.0.73:5140
四川文化旅游,http://www.zhms.tk:5050/udp/239.94.0.71:5140
四川新闻,http://www.zhms.tk:5050/udp/239.94.0.72:5140
四川星空购物,http://www.zhms.tk:5050/udp/239.94.0.74:5140
四川科教,http://www.zhms.tk:5050/udp/239.94.0.76:5140
四川经济,http://www.zhms.tk:5050/udp/239.94.0.70:5140

凤凰中文,http://www.zhms.tk:5050/udp/239.94.2.52:5140
凤凰中文,http://www.zhms.tk:5050/udp/239.94.2.51:5140
凤凰资讯,http://www.zhms.tk:5050/udp/239.94.2.49:5140
凤凰资讯,http://www.zhms.tk:5050/udp/239.94.2.50:5140
CGTN英语,http://www.zhms.tk:5050/udp/239.94.0.40:5140
CGTN英语,http://www.zhms.tk:5050/udp/239.94.0.22:5140
CGTN西班牙语,http://www.zhms.tk:5050/udp/239.94.1.61:5140
CGTN西班牙语,http://www.zhms.tk:5050/udp/239.94.1.65:5140
CGTN法语,http://www.zhms.tk:5050/udp/239.94.1.62:5140
CGTN法语,http://www.zhms.tk:5050/udp/239.94.1.66:5140
CETV-1综合教育,http://www.zhms.tk:5050/udp/239.94.1.2:5140
CETV-2空中课堂,http://www.zhms.tk:5050/udp/239.94.1.19:5140
CETV-4职业教育,http://www.zhms.tk:5050/udp/239.94.1.20:5140
CHC家庭影院,http://www.zhms.tk:5050/udp/239.94.1.173:5140
CHC影迷电影,http://www.zhms.tk:5050/udp/239.94.1.174:5140
CHC动作电影,http://www.zhms.tk:5050/udp/239.94.1.175:5140
中国交通,http://www.zhms.tk:5050/udp/239.94.0.87:5140
中国天气,http://www.zhms.tk:5050/udp/239.94.1.167:5140
华数经典电影,http://www.zhms.tk:5050/udp/239.94.1.21:5140
华数热播剧场,http://www.zhms.tk:5050/udp/239.94.1.25:5140
华数魅力时尚,http://www.zhms.tk:5050/udp/239.94.1.39:5140
华数少儿动画,http://www.zhms.tk:5050/udp/239.94.1.33:5140
华数谍战剧场,http://www.zhms.tk:5050/udp/239.94.1.28:5140
iHOT爱谍战,http://www.zhms.tk:5050/udp/239.94.1.134:5140
iHOT爱动漫,http://www.zhms.tk:5050/udp/239.94.1.141:5140
iHOT爱科幻,http://www.zhms.tk:5050/udp/239.94.1.131:5140
iHOT爱浪漫,http://www.zhms.tk:5050/udp/239.94.1.128:5140
iHOT爱历史,http://www.zhms.tk:5050/udp/239.94.1.135:5140
iHOT爱旅行,http://www.zhms.tk:5050/udp/239.94.1.137:5140
iHOT爱奇谈,http://www.zhms.tk:5050/udp/239.94.1.130:5140
iHOT爱赛车,http://www.zhms.tk:5050/udp/239.94.1.144:5140
iHOT爱体育,http://www.zhms.tk:5050/udp/239.94.1.44:5140
iHOT爱体育,http://www.zhms.tk:5050/udp/239.94.1.143:5140
iHOT爱玩具,http://www.zhms.tk:5050/udp/239.94.1.140:5140
iHOT爱喜剧,http://www.zhms.tk:5050/udp/239.94.1.129:5140
iHOT爱喜剧,http://www.zhms.tk:5050/udp/239.94.2.71:5140
