辽宁联通-组播1,#genre#
上海欢笑剧场4K,http://116.2.165.86:4010/rtp/232.0.0.98:1234
上海纪实,http://116.2.165.86:4010/rtp/232.0.0.132:1234

CGTN-西班牙语,http://116.2.165.86:4010/rtp/232.0.0.6:1234
CGTN-阿拉伯语,http://116.2.165.86:4010/rtp/232.0.0.43:1234
党员教育,http://116.2.165.86:4010/rtp/232.0.0.129:1234
劲爆电影,http://116.2.165.86:4010/rtp/232.0.0.155:1234
大洼综合,http://116.2.165.86:4010/rtp/232.0.0.146:1234
安多藏语综合,http://116.2.165.86:4010/rtp/232.0.0.105:1234
康巴藏语综合,http://116.2.165.86:4010/rtp/232.0.0.109:1234
游戏竞技,http://116.2.165.86:4010/rtp/232.0.0.112:1234
炫动卡通,http://116.2.165.86:4010/rtp/232.0.0.103:1234
电子体育,http://116.2.165.86:4010/rtp/232.0.0.24:1234
移动电视,http://116.2.165.86:4010/rtp/232.0.0.165:1234
网络棋牌,http://116.2.165.86:4010/rtp/232.0.0.64:1234
辽河文化生活,http://116.2.165.86:4010/rtp/232.0.0.215:1234
辽河新闻综合,http://116.2.165.86:4010/rtp/232.0.0.214:1234
