浙江电信-组播1,#genre#
CCTV-11戏曲,http://maymoon.asuscomm.com:7777/rtp/233.50.200.88:5140
CCTV-11戏曲,http://maymoon.asuscomm.com:7777/rtp/233.50.200.132:5140
CCTV-11戏曲,http://maymoon.asuscomm.com:7777/rtp/233.50.201.11:5140
CCTV-12社会与法,http://maymoon.asuscomm.com:7777/rtp/233.50.200.21:5140
CCTV-12社会与法,http://maymoon.asuscomm.com:7777/rtp/233.50.200.90:5140
CCTV-12社会与法,http://maymoon.asuscomm.com:7777/rtp/233.50.201.12:5140
CCTV-12社会与法,http://maymoon.asuscomm.com:7777/rtp/233.50.201.123:5140
CCTV-13新闻,http://maymoon.asuscomm.com:7777/rtp/233.50.200.111:5140
CCTV-13新闻,http://maymoon.asuscomm.com:7777/rtp/233.50.200.49:5140
CCTV-13新闻,http://maymoon.asuscomm.com:7777/rtp/233.50.200.97:5140
CCTV-13新闻,http://maymoon.asuscomm.com:7777/rtp/233.50.201.13:5140
CCTV-13新闻,http://maymoon.asuscomm.com:7777/rtp/233.50.201.246:5140
CCTV-14少儿,http://maymoon.asuscomm.com:7777/rtp/233.50.200.20:5140
CCTV-14少儿,http://maymoon.asuscomm.com:7777/rtp/233.50.200.50:5140
CCTV-14少儿,http://maymoon.asuscomm.com:7777/rtp/233.50.200.103:5140
CCTV-14少儿,http://maymoon.asuscomm.com:7777/rtp/233.50.201.14:5140
CCTV-14少儿,http://maymoon.asuscomm.com:7777/rtp/233.50.201.124:5140
CCTV-15音乐,http://maymoon.asuscomm.com:7777/rtp/233.50.200.91:5140
CCTV-15音乐,http://maymoon.asuscomm.com:7777/rtp/233.50.200.133:5140
CCTV-15音乐,http://maymoon.asuscomm.com:7777/rtp/233.50.201.15:5140
CCTV-16奥林匹克,http://maymoon.asuscomm.com:7777/rtp/233.50.200.112:5140
CCTV-16奥林匹克,http://maymoon.asuscomm.com:7777/rtp/233.50.201.192:5140
CCTV-17农业农村,http://maymoon.asuscomm.com:7777/rtp/233.50.200.113:5140
CCTV-17农业农村,http://maymoon.asuscomm.com:7777/rtp/233.50.201.35:5140
CCTV4K(SDR),http://maymoon.asuscomm.com:7777/rtp/233.50.201.226:5140
湖南卫视,http://maymoon.asuscomm.com:7777/rtp/233.50.200.69:5140
湖南卫视,http://maymoon.asuscomm.com:7777/rtp/233.50.200.190:5140
湖南卫视,http://maymoon.asuscomm.com:7777/rtp/233.50.201.52:5140
湖南卫视,http://maymoon.asuscomm.com:7777/rtp/233.50.201.103:5140
江苏卫视,http://maymoon.asuscomm.com:7777/rtp/233.50.200.66:5140
江苏卫视,http://maymoon.asuscomm.com:7777/rtp/233.50.200.144:5140
江苏卫视,http://maymoon.asuscomm.com:7777/rtp/233.50.201.41:5140
江苏卫视,http://maymoon.asuscomm.com:7777/rtp/233.50.201.106:5140
北京卫视,http://maymoon.asuscomm.com:7777/rtp/233.50.200.68:5140
北京卫视,http://maymoon.asuscomm.com:7777/rtp/233.50.200.179:5140
北京卫视,http://maymoon.asuscomm.com:7777/rtp/233.50.201.40:5140
北京卫视,http://maymoon.asuscomm.com:7777/rtp/233.50.201.107:5140
东方卫视,http://maymoon.asuscomm.com:7777/rtp/233.50.200.64:5140
东方卫视,http://maymoon.asuscomm.com:7777/rtp/233.50.200.146:5140
东方卫视,http://maymoon.asuscomm.com:7777/rtp/233.50.200.248:5140
东方卫视,http://maymoon.asuscomm.com:7777/rtp/233.50.201.68:5140
东方卫视,http://maymoon.asuscomm.com:7777/rtp/233.50.201.125:5140
安徽卫视,http://maymoon.asuscomm.com:7777/rtp/233.50.200.71:5140
安徽卫视,http://maymoon.asuscomm.com:7777/rtp/233.50.200.106:5140
安徽卫视,http://maymoon.asuscomm.com:7777/rtp/233.50.201.62:5140
安徽卫视,http://maymoon.asuscomm.com:7777/rtp/233.50.201.113:5140
广东卫视,http://maymoon.asuscomm.com:7777/rtp/233.50.200.61:5140
广东卫视,http://maymoon.asuscomm.com:7777/rtp/233.50.200.126:5140
广东卫视,http://maymoon.asuscomm.com:7777/rtp/233.50.201.56:5140
广东卫视,http://maymoon.asuscomm.com:7777/rtp/233.50.201.102:5140
深圳卫视,http://maymoon.asuscomm.com:7777/rtp/233.50.200.188:5140
深圳卫视,http://maymoon.asuscomm.com:7777/rtp/233.50.201.45:5140
深圳卫视,http://maymoon.asuscomm.com:7777/rtp/233.50.201.101:5140
辽宁卫视,http://maymoon.asuscomm.com:7777/rtp/233.50.200.85:5140
辽宁卫视,http://maymoon.asuscomm.com:7777/rtp/233.50.200.129:5140
辽宁卫视,http://maymoon.asuscomm.com:7777/rtp/233.50.201.60:5140
辽宁卫视,http://maymoon.asuscomm.com:7777/rtp/233.50.201.141:5140
山东卫视,http://maymoon.asuscomm.com:7777/rtp/233.50.200.65:5140
山东卫视,http://maymoon.asuscomm.com:7777/rtp/233.50.200.127:5140
山东卫视,http://maymoon.asuscomm.com:7777/rtp/233.50.201.64:5140
山东卫视,http://maymoon.asuscomm.com:7777/rtp/233.50.201.105:5140
天津卫视,http://maymoon.asuscomm.com:7777/rtp/233.50.200.98:5140
天津卫视,http://maymoon.asuscomm.com:7777/rtp/233.50.200.104:5140
天津卫视,http://maymoon.asuscomm.com:7777/rtp/233.50.201.47:5140
天津卫视,http://maymoon.asuscomm.com:7777/rtp/233.50.201.104:5140
重庆卫视,http://maymoon.asuscomm.com:7777/rtp/233.50.200.86:5140
重庆卫视,http://maymoon.asuscomm.com:7777/rtp/233.50.200.114:5140
重庆卫视,http://maymoon.asuscomm.com:7777/rtp/233.50.201.66:5140
