江苏电信-组播1,#genre#
苏超2,http://﻿http://49.65.86.7:58888/udp/239.49.8.97:8000
苏超3,http://﻿http://49.65.86.7:58888/udp/239.49.8.98:8000
苏超4,http://﻿http://49.65.86.7:58888/udp/239.49.8.99:8000
苏超5,http://﻿http://49.65.86.7:58888/udp/239.49.8.100:8000
苏超6,http://﻿http://49.65.86.7:58888/udp/239.49.8.101:8000

江苏电信-组播2,#genre#
江苏卫视,http://﻿http://49.77.20.134:8118/udp/239.49.8.16:9602
江苏卫视,http://﻿http://49.77.20.134:8118/udp/239.49.8.138:6000
江苏卫视4K,http://﻿http://49.77.20.134:8118/udp/239.49.1.62:8000
江苏卫视4K,http://﻿http://49.77.20.134:8118/udp/239.49.1.61:8000

江苏体育,http://﻿http://49.77.20.134:8118/udp/239.49.8.117:8000
江苏国际,http://﻿http://49.77.20.134:8118/udp/239.49.1.81:8000
江苏城市,http://﻿http://49.77.20.134:8118/udp/239.49.8.107:8000
江苏影视,http://﻿http://49.77.20.134:8118/udp/239.49.8.118:8000
江苏教育,http://﻿http://49.77.20.134:8118/udp/239.49.8.122:8000
江苏新闻,http://﻿http://49.77.20.134:8118/udp/239.49.8.120:8000
江苏综艺,http://﻿http://49.77.20.134:8118/udp/239.49.8.108:8000

CGTN英语,http://﻿http://49.77.20.134:8118/udp/239.49.0.9:8064
CGTN英语,http://﻿http://49.77.20.134:8118/udp/239.49.1.9:6000
CGTN西班牙语,http://﻿http://49.77.20.134:8118/udp/239.49.1.30:8000
CGTN法语,http://﻿http://49.77.20.134:8118/udp/239.49.1.31:8000
CGTN俄语,http://﻿http://49.77.20.134:8118/udp/239.49.0.111:8000
CETV-1综合教育,http://﻿http://49.77.20.134:8118/udp/239.49.8.115:8000
CETV-1综合教育,http://﻿http://49.77.20.134:8118/udp/239.49.0.70:8552
CETV-2空中课堂,http://﻿http://49.77.20.134:8118/udp/239.49.0.71:8560
